127.0.0.1, 2014-10-16 16:48:41, GET, /Practical2/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001010
127.0.0.1, 2014-10-16 16:48:41, GET, /Practical2/static/js/share.js, HTTP/1.1, 304, 0.001175
127.0.0.1, 2014-10-16 16:48:41, GET, /Practical2/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.001291
127.0.0.1, 2014-10-16 16:48:41, GET, /Practical2/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001038
127.0.0.1, 2014-10-16 16:48:42, GET, /Practical2/static/images/twitter.png, HTTP/1.1, 304, 0.002760
127.0.0.1, 2014-10-16 16:48:42, GET, /Practical2/static/images/gplus-32.png, HTTP/1.1, 304, 0.000937
127.0.0.1, 2014-10-16 16:48:42, GET, /Practical2/static/images/facebook.png, HTTP/1.1, 304, 0.003164
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/appadmin/index, HTTP/1.1, 200, 0.146812
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/js/calendar.js, HTTP/1.1, 304, 0.001149
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/js/jquery.js, HTTP/1.1, 304, 0.000948
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/css/web2py.css, HTTP/1.1, 304, 0.001049
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/css/calendar.css, HTTP/1.1, 304, 0.002847
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/js/web2py.js, HTTP/1.1, 304, 0.000474
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002421
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.003685
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001742
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/js/share.js, HTTP/1.1, 304, 0.001143
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.012869
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.017295
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.011999
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/images/facebook.png, HTTP/1.1, 304, 0.001602
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/images/gplus-32.png, HTTP/1.1, 304, 0.001535
127.0.0.1, 2014-10-16 16:48:43, GET, /Practical2/static/images/twitter.png, HTTP/1.1, 304, 0.001032
127.0.0.1, 2014-10-16 16:48:50, GET, /admin/default/peek/Practical2/models/db.py, HTTP/1.1, 200, 0.119284
127.0.0.1, 2014-10-16 16:51:05, GET, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.130981
127.0.0.1, 2014-10-16 16:51:06, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.149716
127.0.0.1, 2014-10-16 16:51:06, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.251511
127.0.0.1, 2014-10-16 16:51:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.292749
127.0.0.1, 2014-10-16 16:51:07, GET, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.251432
127.0.0.1, 2014-10-16 16:51:07, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.052730
127.0.0.1, 2014-10-16 16:52:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055122
127.0.0.1, 2014-10-16 16:53:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.059961
127.0.0.1, 2014-10-16 16:54:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057581
127.0.0.1, 2014-10-16 16:55:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057520
127.0.0.1, 2014-10-16 16:56:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.059441
127.0.0.1, 2014-10-16 16:57:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.060012
127.0.0.1, 2014-10-16 16:58:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.058529
127.0.0.1, 2014-10-16 16:59:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.046260
127.0.0.1, 2014-10-16 17:00:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057782
127.0.0.1, 2014-10-16 17:01:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.058921
127.0.0.1, 2014-10-16 17:02:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.054873
127.0.0.1, 2014-10-16 17:03:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.055809
127.0.0.1, 2014-10-16 17:04:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057963
127.0.0.1, 2014-10-16 17:05:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057907
127.0.0.1, 2014-10-16 17:05:22, POST, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.072596
127.0.0.1, 2014-10-16 17:05:52, POST, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.072439
127.0.0.1, 2014-10-16 17:05:54, POST, /admin/default/edit/Practical2/models/db.py, HTTP/1.1, 200, 0.070045
